raceId,driverId,stop,lap,time,duration,milliseconds,constructorId,grid,position,fastestLapTime,fastestLapSpeed,FastestLapSeconds,FastestLapMilliseconds,engineType
1071,817,1,7,14:12:47,19.732,19732,1,11,0,01:14.4,208.379,74.4,74400,1
1071,817,2,8,14:15:01,18.347,18347,1,11,0,01:14.4,208.379,74.4,74400,1
1071,817,3,30,14:44:58,22.839,22839,1,11,0,01:14.4,208.379,74.4,74400,1
1072,817,1,13,20:58:41,16:37.0,997029,1,11,5,01:32.7,239.725,92.7,92700,1
1072,817,2,15,21:22:05,18:07.3,1087296,1,11,5,01:32.7,239.725,92.7,92700,1
1073,817,1,18,17:30:47,21.449,21449,1,10,12,01:28.7,214.28,88.7,88700,1
1073,817,2,52,18:22:38,22.056,22056,1,10,12,01:28.7,214.28,88.7,88700,1
1051,822,1,33,17:53:44,36.341,36341,131,6,0,01:27.2,221.992,87.2,87200,1
1052,822,1,16,18:35:24,24.262,24262,131,3,3,01:32.1,211.566,92.1,92100,1
1052,822,2,30,18:57:58,32.897,32897,131,3,3,01:32.1,211.566,92.1,92100,1
1052,822,3,54,19:36:21,24.566,24566,131,3,3,01:32.1,211.566,92.1,92100,1
1053,822,1,28,15:50:46,30.167,30167,131,8,0,01:28.5,199.721,88.5,88500,1
1054,822,1,2,15:06:11,21.377,21377,131,1,3,01:19.9,209.738,79.9,79900,1
1054,822,2,3,15:08:34,22.072,22072,131,1,3,01:19.9,209.738,79.9,79900,1
1054,822,3,36,15:56:27,26.938,26938,131,1,3,01:19.9,209.738,79.9,79900,1
1054,822,4,63,16:33:39,26.573,26573,131,1,3,01:19.9,209.738,79.9,79900,1
1055,822,1,23,15:37:18,22.311,22311,131,3,3,01:19.4,211.884,79.4,79400,1
1055,822,2,53,16:18:52,21.638,21638,131,3,3,01:19.4,211.884,79.4,79400,1
1057,822,1,11,16:24:08,20.356,20356,131,10,12,01:45.7,204.521,105.7,105700,1
1057,822,2,47,17:34:08,21.346,21346,131,10,12,01:45.7,204.521,105.7,105700,1
1057,822,3,48,17:37:13,33:55.2,2035229,131,10,12,01:45.7,204.521,105.7,105700,1
1058,822,1,27,15:34:56,21.752,21752,131,5,3,01:08.6,226.537,68.6,68600,1
1059,822,1,17,15:31:34,30.572,30572,131,3,4,01:37.0,216.905,97,97000,1
1060,822,1,30,15:39:41,21.071,21071,131,5,2,01:08.4,227.349,68.4,68400,1
1061,822,1,2,15:08:02,34:09.1,2049149,131,3,3,01:30.5,234.275,90.5,90500,1
1061,822,2,22,16:15:42,28.209,28209,131,3,3,01:30.5,234.275,90.5,90500,1
1064,822,1,31,15:42:24,18.873,18873,131,3,3,01:12.5,211.338,72.5,72500,1
1064,822,2,67,16:27:35,21.73,21730,131,3,3,01:12.5,211.338,72.5,72500,1
1065,822,1,26,15:41:50,24.308,24308,131,19,3,01:24.8,245.85,84.8,84800,1
1066,822,1,28,15:51:35,29.936,29936,131,16,5,01:38.2,214.352,98.2,98200,1
1066,822,2,47,16:23:58,29.569,29569,131,16,5,01:38.2,214.352,98.2,98200,1
1067,822,1,37,16:01:20,22.962,22962,131,1,1,01:30.4,212.5,90.4,90400,1
1069,822,1,15,14:29:44,24.444,24444,131,9,6,01:40.1,198.176,100.1,100100,1
1069,822,2,34,15:02:17,23.619,23619,131,9,6,01:40.1,198.176,100.1,100100,1
1070,822,1,1,13:05:16,22.463,22463,131,1,15,01:17.8,199.223,77.8,77800,1
1070,822,2,40,14:01:30,31.664,31664,131,1,15,01:17.8,199.223,77.8,77800,1
1070,822,3,63,14:33:17,22.68,22680,131,1,15,01:17.8,199.223,77.8,77800,1
1070,822,4,67,14:39:06,26.443,26443,131,1,15,01:17.8,199.223,77.8,77800,1
1071,822,1,7,14:12:38,17.899,17899,131,1,3,01:12.5,213.887,72.5,72500,1
1071,822,2,8,14:14:50,17.837,17837,131,1,3,01:12.5,213.887,72.5,72500,1
1071,822,3,30,14:44:40,23.263,23263,131,1,3,01:12.5,213.887,72.5,72500,1
1071,822,4,41,14:58:30,22.856,22856,131,1,3,01:12.5,213.887,72.5,72500,1
1072,822,1,10,20:49:57,21.668,21668,131,2,3,01:31.4,243.155,91.4,91400,1
1072,822,2,13,20:58:35,16:35.9,995942,131,2,3,01:31.4,243.155,91.4,91400,1
1072,822,3,15,21:22:07,18:09.5,1089473,131,2,3,01:31.4,243.155,91.4,91400,1
1073,822,1,30,17:48:30,21.669,21669,131,6,6,01:26.9,218.871,86.9,86900,1
1051,830,1,17,17:29:03,25.3,25300,9,7,2,01:23.2,232.799,83.2,83200,0
1051,830,2,41,18:04:20,25.175,25175,9,7,2,01:23.2,232.799,83.2,83200,0
1051,830,3,55,18:24:59,25.465,25465,9,7,2,01:23.2,232.799,83.2,83200,0
1052,830,1,17,18:36:54,24.767,24767,9,1,2,01:33.2,208.984,93.2,93200,0
